year,region,govt_schools,nongovt_schools,total_schools,enrolment_f1f4,total_teachers,schools_with_electricity,pct_schools_electricity,desktop_computers,laptop_computers,projectors,enrolment_for_dropout,total_dropouts,dropout_rate_regional,pupil_book_ratio,disability_enrolment,csee_div1_pct,infra_imputed_2020,ptr_regional,desktops_per_school,teachers_per_school,nongovt_share,enrolment_per_school,laptops_per_school,csee_pass_rate,csee_fail_rate,csee_candidates,dropout_rate_pct,gross_completion_rate,total_teachers_national,qualified_teachers_national,qualified_teacher_ratio,ptr_national
2022,SIMIYU,155,12,167,75364,2415,167.0,72.4550898203593,381.0,93.0,99.0,71856.0,9.45502115341795,0.0132,,0.0,7.25,0,31.21,2.28,14.46,0.0719,451.3,0.56,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,SIMIYU,165,13,178,83614,2459,178.0,73.5955056179775,307.0,91.0,94.0,75364.0,9.255082002016877,0.0123,,0.0,8.05,0,34.0,1.72,13.81,0.073,469.7,0.51,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,SIMIYU,179,13,192,91383,2605,192.0,83.8541666666667,422.0,109.0,117.0,83614.0,7.50711603320018,0.009,,1.0,,0,35.08,2.2,13.57,0.0677,476.0,0.57,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,SINGIDA,142,22,164,67149,2395,,70.5521472392638,447.0,166.0,93.0,,4.0,,,4.0,7.19,1,28.04,2.73,14.6,0.1341,409.4,1.01,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,SINGIDA,142,21,163,73157,2468,163.0,70.5521472392638,447.0,166.0,93.0,67149.0,6.10433513529613,0.0091,,4.0,6.57,0,29.64,2.74,15.14,0.1288,448.8,1.02,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,SINGIDA,143,24,167,78797,2523,167.0,76.0479041916168,545.0,191.0,94.0,73157.0,6.37532977022021,0.0087,,8.0,7.25,0,31.23,3.26,15.11,0.1437,471.8,1.14,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,SINGIDA,157,25,182,84551,2624,182.0,73.0769230769231,525.0,232.0,106.0,78797.0,6.43552419508357,0.0082,,4.0,8.05,0,32.22,2.88,14.42,0.1374,464.6,1.27,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,SINGIDA,166,28,194,95551,2804,194.0,76.8041237113402,696.0,251.0,131.0,84551.0,6.06616125178886,0.0072,,6.0,,0,34.08,3.59,14.45,0.1443,492.5,1.29,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,SONGWE,91,29,120,50883,2240,,69.3548387096774,344.0,116.0,73.0,,5.0,,,0.0,7.19,1,22.72,2.87,18.67,0.2417,424.0,0.97,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,SONGWE,96,28,124,54376,2315,124.0,69.3548387096774,344.0,116.0,73.0,50883.0,6.27321502269913,0.0123,,0.0,6.57,0,23.49,2.77,18.67,0.2258,438.5,0.94,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,SONGWE,102,28,130,56347,2362,130.0,71.5384615384615,383.0,134.0,89.0,54376.0,7.12630572311314,0.0131,,0.0,7.25,0,23.86,2.95,18.17,0.2154,433.4,1.03,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,SONGWE,112,30,142,60122,2497,142.0,71.1267605633803,434.0,151.0,91.0,56347.0,6.3392904679929725,0.0113,,0.0,8.05,0,24.08,3.06,17.58,0.2113,423.4,1.06,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,SONGWE,122,30,152,64933,2675,152.0,75.0,527.0,170.0,135.0,60122.0,6.15747979109145,0.0102,,2.0,,0,24.27,3.47,17.6,0.1974,427.2,1.12,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,TABORA,168,26,194,85315,3287,,61.1650485436893,556.0,324.0,145.0,,5.0,,,6.0,7.19,1,25.96,2.87,16.94,0.134,439.8,1.67,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,TABORA,179,27,206,91931,3327,206.0,61.1650485436893,556.0,324.0,145.0,85315.0,9.08867139424486,0.0107,,6.0,6.57,0,27.63,2.7,16.15,0.1311,446.3,1.57,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,TABORA,182,30,212,96583,3402,212.0,68.3962264150943,668.0,326.0,162.0,91931.0,8.9491031316966,0.0097,,11.0,7.25,0,28.39,3.15,16.05,0.1415,455.6,1.54,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,TABORA,197,32,229,110081,3592,229.0,69.8689956331878,613.0,209.0,158.0,96583.0,8.441444146485406,0.0087,,6.0,8.05,0,30.65,2.68,15.69,0.1397,480.7,0.91,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,TABORA,217,32,249,124169,3798,249.0,75.9036144578313,905.0,318.0,212.0,110081.0,9.13418301069213,0.0083,,2.0,,0,32.69,3.63,15.25,0.1285,498.7,1.28,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,TANGA,244,46,290,118404,5515,,67.5767918088737,1012.0,246.0,182.0,,7.0,,,3.0,7.19,1,21.47,3.49,19.02,0.1586,408.3,0.85,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,TANGA,246,47,293,126915,5620,293.0,67.5767918088737,1012.0,246.0,182.0,118404.0,4.45086314651532,0.0038,,3.0,6.57,0,22.58,3.45,19.18,0.1604,433.2,0.84,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,TANGA,253,45,298,128548,5718,298.0,71.8120805369127,1042.0,374.0,207.0,126915.0,5.14990347870622,0.0041,,3.0,7.25,0,22.48,3.5,19.19,0.151,431.4,1.26,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,TANGA,270,47,317,139965,5837,317.0,74.7634069400631,943.0,371.0,189.0,128548.0,4.935121511030899,0.0038,,13.0,8.05,0,23.98,2.97,18.41,0.1483,441.5,1.17,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,TANGA,289,45,334,150855,6024,334.0,80.8383233532934,1296.0,422.0,252.0,139965.0,4.99124781195299,0.0036,,28.0,,0,25.04,3.88,18.04,0.1347,451.7,1.26,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
