year,region,govt_schools,nongovt_schools,total_schools,enrolment_f1f4,total_teachers,schools_with_electricity,pct_schools_electricity,desktop_computers,laptop_computers,projectors,enrolment_for_dropout,total_dropouts,dropout_rate_regional,pupil_book_ratio,disability_enrolment,csee_div1_pct,infra_imputed_2020,ptr_regional,desktops_per_school,teachers_per_school,nongovt_share,enrolment_per_school,laptops_per_school,csee_pass_rate,csee_fail_rate,csee_candidates,dropout_rate_pct,gross_completion_rate,total_teachers_national,qualified_teachers_national,qualified_teacher_ratio,ptr_national
2024,MANYARA,170,20,190,89532,3488,190.0,84.7368421052632,894.0,318.0,188.0,80356.0,4.84966897306984,0.006,,43.0,,0,25.67,4.71,18.36,0.1053,471.2,1.67,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,MARA,198,38,236,117082,3600,,71.2,990.0,327.0,184.0,,3.0,,,2.0,7.19,1,32.52,4.19,15.25,0.161,496.1,1.39,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,MARA,212,38,250,125879,3722,250.0,71.2,990.0,327.0,184.0,117082.0,3.79477631061991,0.0032,,2.0,6.57,0,33.82,3.96,14.89,0.152,503.5,1.31,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,MARA,224,39,263,137467,3844,263.0,71.4828897338403,1019.0,295.0,205.0,125879.0,3.85926167192304,0.0031,,27.0,7.25,0,35.76,3.87,14.62,0.1483,522.7,1.12,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,MARA,238,40,278,154697,3902,278.0,72.6618705035971,785.0,272.0,204.0,137467.0,4.894992980133414,0.0036,,12.0,8.05,0,39.65,2.82,14.04,0.1439,556.5,0.98,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,MARA,262,38,300,166711,4112,300.0,72.3333333333333,1181.0,353.0,237.0,154697.0,4.08799136376271,0.0026,,10.0,,0,40.54,3.94,13.71,0.1267,555.7,1.18,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,MBEYA,171,71,242,129157,5695,,83.9357429718875,1367.0,287.0,309.0,,7.0,,,10.0,7.19,1,22.68,5.65,23.53,0.2934,533.7,1.19,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,MBEYA,175,74,249,135797,5733,249.0,83.9357429718875,1367.0,287.0,309.0,129157.0,2.88640956355443,0.0022,,10.0,6.57,0,23.69,5.49,23.02,0.2972,545.4,1.15,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,MBEYA,187,76,263,140402,5816,263.0,84.7908745247148,1529.0,330.0,324.0,135797.0,2.88666170828516,0.0021,,7.0,7.25,0,24.14,5.81,22.11,0.289,533.8,1.25,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,MBEYA,203,71,274,148564,6061,274.0,83.5766423357664,1526.0,326.0,284.0,140402.0,3.4707482799390323,0.0025,,8.0,8.05,0,24.51,5.57,22.12,0.2591,542.2,1.19,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,MBEYA,214,72,286,154816,6286,286.0,90.2097902097902,1896.0,367.0,360.0,148564.0,2.89706793031959,0.002,,3.0,,0,24.63,6.63,21.98,0.2517,541.3,1.28,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,MOROGORO,186,64,250,125172,5605,,72.0930232558139,1859.0,433.0,283.0,,7.0,,,4.0,7.19,1,22.33,7.44,22.42,0.256,500.7,1.73,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,MOROGORO,194,64,258,140380,5688,258.0,72.0930232558139,1859.0,433.0,283.0,125172.0,3.35058958872591,0.0027,,4.0,6.57,0,24.68,7.21,22.05,0.2481,544.1,1.68,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
