year,region,govt_schools,nongovt_schools,total_schools,enrolment_f1f4,total_teachers,schools_with_electricity,pct_schools_electricity,desktop_computers,laptop_computers,projectors,enrolment_for_dropout,total_dropouts,dropout_rate_regional,pupil_book_ratio,disability_enrolment,csee_div1_pct,infra_imputed_2020,ptr_regional,desktops_per_school,teachers_per_school,nongovt_share,enrolment_per_school,laptops_per_school,csee_pass_rate,csee_fail_rate,csee_candidates,dropout_rate_pct,gross_completion_rate,total_teachers_national,qualified_teachers_national,qualified_teacher_ratio,ptr_national,csee_pass_rate_lag1,csee_pass_rate_lag2,ptr_national_lag1,ptr_national_lag2,gross_completion_rate_lag1,gross_completion_rate_lag2,pct_schools_electricity_lag1,pct_schools_electricity_lag2,dropout_rate_pct_lag1,dropout_rate_pct_lag2,enrolment_f1f4_lag1,enrolment_f1f4_lag2,total_teachers_lag1,total_teachers_lag2,csee_pass_rate_roll2,csee_pass_rate_roll3,ptr_national_roll2,ptr_national_roll3,dropout_rate_pct_roll2,dropout_rate_pct_roll3,gross_completion_rate_roll2,gross_completion_rate_roll3,pct_schools_electricity_roll2,pct_schools_electricity_roll3,enrolment_yoy_growth,teacher_yoy_growth,school_yoy_growth,electricity_yoy_growth,ict_yoy_growth,enrolment_teacher_growth_gap,infra_index,electricity_index,ict_index,dropout_burden,disability_inclusion_rate,year_index,log_enrolment,log_schools,teacher_quality_x_density,infra_x_teacher_quality,ptr_x_electricity,retention_pressure,education_quality_index,csee_cumulative_improvement
2020,DODOMA,191,31,222,102112,4150,,80.3571428571429,951.0,150.0,152.0,,6.0,,,5.0,7.19,1,24.61,4.28,18.69,0.1396,460.0,0.68,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5,,,,,,,,,,,,,,,85.84,85.84,22.5,22.5,4.59,4.59,38.55,38.55,80.3571428571429,80.3571428571429,,,,,,,0.3271,0.8036,0.4058,0.0059,0.049,0,11.5338,5.4072,18.4917,0.3236,18.081,0.1191,0.5332,
2021,DODOMA,193,31,224,110555,4283,224.0,80.3571428571429,951.0,150.0,152.0,102112.0,6.03357098088374,0.0059,,5.0,6.57,0,25.81,4.25,19.12,0.1384,493.5,0.67,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0,85.84,,22.5,,38.55,,80.3571428571429,,4.59,,102112.0,,4150.0,,86.57,86.57,22.75,22.75,4.5889907968689005,4.5889907968689005,39.0274420009529,39.0274420009529,80.3571428571429,80.3571428571429,0.0827,0.032,0.009,0.0,0.0,0.050699999999999995,0.3257,0.8036,0.4029,0.0055,0.0452,1,11.6133,5.4161,18.9607,0.323,18.4828,0.1161,0.6587,1.4599999999999937
2022,DODOMA,200,33,233,116170,4352,233.0,85.8369098712446,997.0,185.0,188.0,110555.0,7.96164804848266,0.0072,,6.0,7.25,0,26.69,4.28,18.68,0.1416,498.6,0.79,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0,87.3,85.84,23.0,22.5,39.5048840019058,38.55,80.3571428571429,80.3571428571429,4.5879815937378,4.59,110555.0,102112.0,4283.0,4150.0,87.545,86.97666666666667,23.5,23.166666666666668,4.738799356384185,4.689199570922789,39.1195417646367,38.9296945097578,83.09702636419375,82.18373186184347,0.0508,0.0161,0.0402,0.0682,0.0484,0.034699999999999995,0.3646,0.8584,0.4058,0.0069,0.0516,2,11.6628,5.4553,18.5409,0.3619,20.6016,0.1262,0.4155,1.9500000000000028
2023,DODOMA,220,32,252,126393,4579,252.0,82.9365079365079,910.0,228.0,197.0,116170.0,7.614702591030387,0.0066,,8.0,8.05,0,27.6,3.61,18.17,0.127,501.6,0.9,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0,87.79,87.3,24.0,23.0,38.7341995273676,39.5048840019058,85.8369098712446,80.3571428571429,4.88961711903057,4.5879815937378,116170.0,110555.0,4352.0,4283.0,88.58000000000001,88.15333333333335,24.5,24.0,4.85863451429339,4.768416874108193,40.389665536359175,40.09473835820805,84.38670890387624,83.04352022163181,0.088,0.0522,0.0815,-0.0338,-0.0873,0.03579999999999999,0.3273,0.8294,0.3422,0.006,0.0633,3,11.7472,5.5334,18.0617,0.3253,20.735,0.1148,0.6422,3.530000000000001
2024,DODOMA,238,36,274,138777,4853,274.0,88.6861313868613,1147.0,382.0,278.0,126393.0,7.92923658746924,0.0063,,31.0,,0,28.6,4.19,17.71,0.1314,506.5,1.39,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0,89.37,87.79,25.0,24.0,42.04513154535075,38.7341995273676,82.9365079365079,85.8369098712446,4.82765190955621,4.88961711903057,126393.0,116170.0,4579.0,4352.0,89.37,88.58000000000001,25.5,25.0,4.82396388166662,4.845848294121271,41.71085453499957,40.71863619912225,85.81131966168459,85.81984973153794,0.098,0.0598,0.0873,0.0693,0.2604,0.038200000000000005,0.4016,0.8869,0.3972,0.0057,0.2234,4,11.8406,5.6168,17.6024,0.3992,23.0594,0.1165,0.5677,
2020,GEITA,120,17,137,97179,3084,,64.6666666666667,476.0,110.0,130.0,,5.0,,,1.0,7.19,1,31.51,3.47,22.51,0.1241,709.3,0.8,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5,,,,,,,,,,,,,,,85.84,85.84,22.5,22.5,4.59,4.59,38.55,38.55,64.6666666666667,64.6666666666667,,,,,,,0.2074,0.6467,0.329,0.0051,0.0103,0,11.4843,4.9273,22.2711,0.2052,14.5508,0.1191,0.4759,
2021,GEITA,133,17,150,108059,3164,150.0,64.6666666666667,476.0,110.0,130.0,97179.0,8.37835334794554,0.0086,,1.0,6.57,0,34.15,3.17,21.09,0.1133,720.4,0.73,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0,85.84,,22.5,,38.55,,64.6666666666667,,4.59,,97179.0,,3084.0,,86.57,86.57,22.75,22.75,4.5889907968689005,4.5889907968689005,39.0274420009529,39.0274420009529,64.6666666666667,64.6666666666667,0.112,0.0259,0.0949,0.0,0.0,0.08610000000000001,0.1941,0.6467,0.3005,0.0078,0.0093,1,11.5904,5.0173,20.9143,0.1925,14.8741,0.1161,0.6014,1.4599999999999937
2022,GEITA,155,21,176,116183,3250,176.0,64.2045454545455,519.0,111.0,145.0,108059.0,8.31582746462581,0.0077,,8.0,7.25,0,35.75,2.95,18.47,0.1193,660.1,0.63,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0,87.3,85.84,23.0,22.5,39.5048840019058,38.55,64.6666666666667,64.6666666666667,4.5879815937378,4.59,108059.0,97179.0,3164.0,3084.0,87.545,86.97666666666667,23.5,23.166666666666668,4.738799356384185,4.689199570922789,39.1195417646367,38.9296945097578,64.43560606060609,64.5126262626263,0.0752,0.0272,0.1733,-0.0071,0.0903,0.048,0.1796,0.642,0.2797,0.0072,0.0689,2,11.6629,5.1761,18.3325,0.1783,15.408,0.1262,0.3366,1.9500000000000028
2023,GEITA,205,25,230,133702,3490,230.0,54.7826086956522,452.0,124.0,136.0,116183.0,7.753285764698795,0.0067,,6.0,8.05,0,38.31,1.97,15.17,0.1087,581.3,0.54,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0,87.79,87.3,24.0,23.0,38.7341995273676,39.5048840019058,64.2045454545455,64.6666666666667,4.88961711903057,4.5879815937378,116183.0,108059.0,3250.0,3164.0,88.58000000000001,88.15333333333335,24.5,24.0,4.85863451429339,4.768416874108193,40.389665536359175,40.09473835820805,59.49357707509885,61.217940272288125,0.1508,0.0738,0.3068,-0.1467,-0.1291,0.07699999999999999,0.084,0.5478,0.1868,0.0058,0.0449,3,11.8034,5.4424,15.0796,0.0835,13.695,0.1148,0.5394,3.530000000000001
2024,GEITA,213,26,239,149200,3878,239.0,60.6694560669456,644.0,150.0,205.0,133702.0,8.33644971653378,0.0062,,6.0,,0,38.47,2.69,16.23,0.1088,624.3,0.63,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0,89.37,87.79,25.0,24.0,42.04513154535075,38.7341995273676,54.7826086956522,64.2045454545455,4.82765190955621,4.88961711903057,133702.0,116183.0,3490.0,3250.0,89.37,88.58000000000001,25.5,25.0,4.82396388166662,4.845848294121271,41.71085453499957,40.71863619912225,57.7260323812989,59.88553673904776,0.1159,0.1112,0.0391,0.1075,0.4248,0.00470000000000001,0.1489,0.6067,0.255,0.0056,0.0402,4,11.913,5.4806,16.1314,0.148,15.7742,0.1165,0.4655,
